dataset,attr_conc.mean,attr_ent.mean,attr_to_inst,best_node.mean,can_cor.mean,cat_to_num,class_conc.mean,class_ent,cor.mean,cov.mean,eigenvalues.mean,elite_nn.mean,eq_num_attr,freq_class.mean,g_mean.mean,gravity,h_mean.mean,inst_to_attr,iq_range.mean,joint_ent.mean,kurtosis.mean,leaves,leaves_branch.mean,leaves_corrob.mean,leaves_homo.mean,leaves_per_class.mean,lh_trace,linear_discr.mean,mad.mean,max.mean,mean.mean,median.mean,min.mean,mut_inf.mean,naive_bayes.mean,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_repeated.mean,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,one_nn.mean,p_trace,random_node.mean,range.mean,roy_root,sd.mean,sd_ratio,skewness.mean,sparsity.mean,t_mean.mean,tree_depth.mean,tree_imbalance.mean,tree_shape.mean,var.mean,var_importance.mean,w_lambda,worst_node.mean
accident_bootstrap_1.xlsx,0.01716235618191769,1.521675252972695,0.02512562814070352,0.4663157894736843,0.2632706973892266,0.0,0.014830722108042094,0.9999817845368459,0.0819723756720863,3.404771331404496,217.46232170955778,0.598421052631579,63.13436726072087,0.5,21.596137375442108,2.1383055266861684,19.40833103130815,39.8,15.3,2.5058180922896214,-1.6419255617260404,56,7.035714285714286,0.017857142857142856,1850.577777777778,0.5,0.0744733142534889,0.5523684210526316,11.56428,38.8,23.61909547738694,24.2,8.2,0.01583894521991964,0.5221052631578947,55,11.0,0.27638190954773867,5.5,11.0,5,3,0,2,0.0,1,199,0.0,5,0,95.07175426422839,,0.7986842105263158,0.06931146010380972,0.5273684210526316,30.6,0.0744733142534889,9.144821388843656,1.0236278605747522,0.08212300253209444,0.3036974880216432,23.550413223140495,6.108108108108108,0.10816739818174843,0.08551897321428571,217.46232170955787,0.2,0.9306885398961903,0.5378947368421054
accident_bootstrap_2.xlsx,0.025248768242452757,1.5223691367453482,0.02512562814070352,0.5581578947368422,0.15679800920151116,0.0,0.0034846845794129977,0.9885852466276136,0.09638225742902601,6.74725394650018,231.29744683011018,0.5986842105263157,157.64957632737102,0.5,21.80256808499589,7.639745047912116,19.600964831168653,39.8,17.7,2.504683606948072,-1.6610353863318683,56,8.160714285714286,0.017857142857142856,5428.277100677101,0.5,0.02520530359713495,0.5331578947368422,12.157319999999999,38.8,23.880402010050254,24.0,8.2,0.006270776424890245,0.5631578947368421,55,11.0,0.27638190954773867,4.230769230769231,11.0,5,3,0,2,0.0,1,199,0.0,5,0,241.77203229614327,,0.7844736842105263,0.024585615689557177,0.5681578947368421,30.6,0.02520530359713495,9.364538406810572,1.0280865326677022,0.10791165157001106,0.30398908874844704,23.740495867768594,7.243243243243243,0.07131415676002668,0.06919206891741071,231.29744683011012,0.2,0.9754143843104428,0.5478947368421053
accident_bootstrap_3.xlsx,0.016301591681554314,1.5238419641186316,0.02512562814070352,0.5728947368421051,0.3205140221745996,0.0,0.011588784314578783,0.9969194063891462,0.049200357577800495,3.6798766560073104,217.1615654027716,0.688421052631579,63.87653323763509,0.5,21.845355408455994,9.799038849512106,19.67180077655971,39.8,16.1,2.5051543963052114,-1.6303912564764655,40,6.7,0.024999999999999998,1850.372294372294,0.5,0.11449079008053398,0.5921052631578947,10.97124,38.8,23.83417085427136,22.8,8.2,0.015606974202566404,0.6026315789473683,39,7.8,0.19597989949748743,3.25,7.8,5,3,0,2,0.0,1,199,0.0,5,0,96.63852649080765,,0.778421052631579,0.10272923841053974,0.4821052631578947,30.6,0.11449079008053398,9.125862052829206,1.0344770271313313,0.09503700908946983,0.3036083877995643,23.801652892561982,5.7974683544303796,0.08096891512689527,0.11317138671875,217.16156540277143,0.2,0.8972707615894603,0.5276315789473685
accident_bootstrap_4.xlsx,0.018448347651755174,1.5210764294436134,0.02512562814070352,0.5436842105263158,0.2670421917475262,0.0,0.008478778832096832,0.9999817845368459,0.07961450890519413,11.704149535556573,218.7920816202223,0.5578947368421053,83.1531582950956,0.5,20.300071792297175,5.776130265921382,18.28127847904671,39.8,15.6,2.50903243161645,-1.6748492856540182,59,6.762711864406779,0.01694915254237288,1397.0412698412697,0.5,0.0767873561951364,0.5736842105263158,10.674719999999999,38.8,22.338693467336682,21.4,8.2,0.012025782364009441,0.5634210526315789,58,11.6,0.2914572864321608,5.8,11.6,5,3,0,2,0.0,1,199,0.0,5,0,125.48461309227294,,0.7884210526315789,0.07131153217332255,0.5576315789473684,30.6,0.0767873561951364,9.267232853401005,1.0146740943330352,0.20106836545184387,0.30365250766370167,21.733884297520664,5.829059829059829,0.10861482270289587,0.08570577330508475,218.7920816202223,0.19999999999999998,0.9286884678266775,0.5476315789473684
accident_bootstrap_5.xlsx,0.025379795951411255,1.5194019746678467,0.02512562814070352,0.5726315789473684,0.22279742935259952,0.0,0.006733335544283193,0.9995445674117699,0.08042293120181494,1.8076189025937772,234.99025430181206,0.6026315789473684,110.08209464285989,0.5,20.467156909586784,3.995292705346225,18.27628037125111,39.8,15.3,2.509866549818799,-1.6451622971858662,54,7.0,0.018518518518518517,1437.9746031746026,0.5,0.05223139267162767,0.5271052631578949,10.674719999999999,38.8,22.639195979899498,22.4,8.2,0.009079992260817705,0.5526315789473684,53,10.6,0.2663316582914573,5.3,10.6,5,3,0,2,0.0,1,199,0.0,5,0,166.33516186180273,,0.7889473684210526,0.04963869452612658,0.5726315789473684,30.6,0.05223139267162767,9.460138170678887,1.0206379462948658,0.18763545776002108,0.30380311046977715,22.142148760330578,6.074766355140187,0.0993059015206703,0.08091001157407407,234.9902543018121,0.2,0.9503613054738734,0.49789473684210533
accident_bootstrap_6.xlsx,0.025904762638993585,1.5220752612612305,0.02512562814070352,0.4923684210526316,0.17857136065611512,0.0,0.004214971789207221,0.999107261904943,0.08773948928299392,2.633823156184966,230.77606212882583,0.638421052631579,177.3333173466109,0.5,21.487072326964302,2.688528177817396,19.281674791269914,39.8,16.2,2.515548459151276,-1.6774492381422448,42,8.142857142857142,0.023809523809523808,3368.1108225108223,0.5,0.03293805053670161,0.5178947368421053,12.45384,38.8,23.58994974874372,23.6,8.2,0.005634064014897522,0.5276315789473685,41,8.2,0.20603015075376885,3.4166666666666665,8.2,5,3,0,2,0.0,1,199,0.0,5,0,269.1558337350407,,0.7842105263157895,0.03188773084657634,0.49736842105263157,30.6,0.03293805053670161,9.378586249428473,1.0285179118752328,0.13123391443727694,0.30390463072281254,23.462809917355372,7.253012048192771,0.07391669971384163,0.07874116443452381,230.7760621288259,0.2,0.9681122691534236,0.4726315789473684
accident_bootstrap_7.xlsx,0.019281339003743896,1.5253568348919282,0.02512562814070352,0.5831578947368421,0.29377612570526657,0.0,0.01688972893857161,0.9999817845368459,0.09516292544209827,8.239822851631908,240.92932338459954,0.633421052631579,68.20844666659632,0.5,21.537386516544945,1.0851743862751646,19.154222061562358,39.8,18.3,2.510677945664647,-1.7069811832113735,51,8.156862745098039,0.019607843137254898,6337.71552891553,0.5,0.09445641761996289,0.5978947368421054,13.046879999999998,38.8,23.777889447236184,24.4,8.2,0.01466067376412732,0.6081578947368421,50,10.0,0.25125628140703515,3.8461538461538463,10.0,5,3,0,2,0.0,1,199,0.0,5,0,103.04411553200711,,0.8139473684210525,0.08630441203439658,0.5473684210526316,30.6,0.09445641761996289,9.581527689628281,1.0380330956615729,0.05121439970518924,0.30393209364840573,23.910743801652895,7.247524752475248,0.07353102087853375,0.0807195925245098,240.92932338459974,0.19999999999999998,0.9136955879656035,0.5326315789473683
adult_bootstrap_1.xlsx,0.02520385219852216,2.1354077135456544,0.00039925063726544026,0.8059334874271933,0.5154151964974912,0.0,0.028140334963534172,0.7900697170082687,0.06148794790057037,20736.94845479725,862697446.5426337,0.8159448671883427,12.387185375645258,0.5,12293.018155291733,4862.2975480544565,9690.366522465592,2504.6923076923076,9237.923076923076,2.8616962169005262,18.511571843194638,3122,19.73190262652146,0.00032030749519538755,47892695625.412636,0.5,0.3617537232320119,0.8192930799585698,6910.170507692306,122257.76923076923,14671.316234853874,13742.923076923076,1061.1538461538462,0.0637812136533973,0.7946928520615962,3121,240.07692307692307,0.09585086453118762,82.13157894736842,240.07692307692307,13,1,0,2,0.0,1,32561,0.0,13,10,32.48019881136132,,0.8867355154160496,0.2656528247805475,0.7629679676885696,121196.61538461539,0.3617537232320119,8708.537640506118,1.154124353425454,2.5169590242695232,0.10141353979707857,13650.461924317175,18.735223450264296,0.025451732558152477,0.0020599304998931266,862697446.5426337,0.07692307692307693,0.7343471752194525,0.7629679676885696
adult_bootstrap_2.xlsx,0.02926695603512526,2.133883486541045,0.00039925063726544026,0.8004973223425786,0.5038071861636927,0.0,0.027753499706577724,0.7979068847888193,0.061335879958175035,19634.90833921383,875174307.290364,0.8188626519030265,12.51754663634241,0.5,12327.258444520297,4933.271565035697,9723.37055502692,2504.6923076923076,9145.923076923076,2.8680472986679866,18.8612651962048,3163,20.261776794182737,0.0003161555485298767,33145917774905.734,0.5,0.34016222973695187,0.8123829019937402,6810.836307692307,122222.69230769231,14704.696387608581,13729.76923076923,947.0,0.06374307266187788,0.7918981154934486,3162,243.23076923076923,0.09711003961794785,65.875,243.23076923076923,13,1,0,2,0.0,1,32561,0.0,13,10,32.47631981690197,,0.8886394282886453,0.2538216808301777,0.7582691013647416,121275.69230769231,0.34016222973695187,8760.601122985114,1.1461749897149331,2.533850939636456,0.10144457013321254,13664.100314590461,19.26513833992095,0.01975007394052719,0.001972539256987588,875174307.2903633,0.0769230769230769,0.7461783191698224,0.7582691013647416
adult_bootstrap_3.xlsx,0.022603116907534013,2.13637156165436,0.00039925063726544026,0.8028928997381561,0.49932550707130074,0.0,0.027911515923196163,0.7907424338017752,0.0628662926789481,18060.227510176024,862680772.1271554,0.8187709575067572,12.684634649253272,0.5,12338.406203713852,3949.3475023182696,9791.76773992687,2504.6923076923076,9050.846153846154,2.8647753900751494,19.988758383057288,3169,20.581255916692964,0.0003155569580309246,58408534817846.12,0.5,0.33213611953368377,0.8153618100194704,6737.162492307692,122222.61538461539,14668.533479173999,13710.461538461539,1061.1538461538462,0.0623386053809855,0.7945394780020203,3168,243.69230769230768,0.0972943091428396,67.40425531914893,243.69230769230768,13,1,0,2,0.0,1,32561,0.0,13,10,33.270442025416166,,0.8885169742131671,0.2493259620120116,0.7625687236487052,121161.46153846153,0.33213611953368377,8679.436958517568,1.1456703860164905,2.5779589587552514,0.10148787705142309,13629.692528181242,19.58466151175635,0.020293933697856426,0.001936988533012067,862680772.1271554,0.07692307692307691,0.7506740379879884,0.7625687236487052
